nohup: ignoring input
[26-01-14 05:03] T=19.7, t_set=20.0, pump_on=True Action=Nessuna
[26-01-14 05:13] T=19.7, t_set=20.0, pump_on=True Action=Nessuna
[26-01-14 05:23] T=19.8, t_set=20.0, pump_on=True Action=Nessuna
[26-01-14 05:33] T=19.8, t_set=20.0, pump_on=True Action=Nessuna
[26-01-14 05:43] T=19.9, t_set=20.0, pump_on=True Action=Nessuna
[26-01-14 05:53] T=19.9, t_set=20.0, pump_on=True Action=Nessuna
[26-01-14 06:03] T=20.0, t_set=20.0, pump_on=True Action=Spengo
[26-01-14 06:13] T=20.0, t_set=20.0, pump_on=False Action=Nessuna
[26-01-14 06:23] T=20.0, t_set=20.0, pump_on=False Action=Nessuna
[26-01-14 06:33] T=20.0, t_set=20.0, pump_on=False Action=Nessuna
[26-01-14 06:43] T=20.1, t_set=20.0, pump_on=False Action=Nessuna
